"Statistic Label","Year","County","Penalty Points Applied","UNIT","VALUE"
"Drivers cumulative penalty points","2022","Kilkenny","6 penalty points","Number","1079"
"Drivers cumulative penalty points","2022","Kilkenny","7 penalty points","Number","15"
"Drivers cumulative penalty points","2022","Kilkenny","8 penalty points","Number","64"
"Drivers cumulative penalty points","2022","Kilkenny","9 penalty points","Number","170"
"Drivers cumulative penalty points","2022","Kilkenny","10 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Kilkenny","11 penalty points","Number","17"
"Drivers cumulative penalty points","2022","Kilkenny","12 penalty points","Number","13"
"Drivers cumulative penalty points","2022","Laois","Total penalty points","Number","10072"
"Drivers cumulative penalty points","2022","Laois","1 penalty point","Number","29"
"Drivers cumulative penalty points","2022","Laois","2 penalty points","Number","745"
"Drivers cumulative penalty points","2022","Laois","3 penalty points","Number","6825"
"Drivers cumulative penalty points","2022","Laois","4 penalty points","Number","140"
"Drivers cumulative penalty points","2022","Laois","5 penalty points","Number","617"
"Drivers cumulative penalty points","2022","Laois","6 penalty points","Number","1287"
"Drivers cumulative penalty points","2022","Laois","7 penalty points","Number","22"
"Drivers cumulative penalty points","2022","Laois","8 penalty points","Number","98"
"Drivers cumulative penalty points","2022","Laois","9 penalty points","Number","237"
"Drivers cumulative penalty points","2022","Laois","10 penalty points","Number","25"
"Drivers cumulative penalty points","2022","Laois","11 penalty points","Number","23"
"Drivers cumulative penalty points","2022","Laois","12 penalty points","Number","24"
"Drivers cumulative penalty points","2022","Leitrim","Total penalty points","Number","3155"
"Drivers cumulative penalty points","2022","Leitrim","1 penalty point","Number","8"
"Drivers cumulative penalty points","2022","Leitrim","2 penalty points","Number","224"
"Drivers cumulative penalty points","2022","Leitrim","3 penalty points","Number","2301"
"Drivers cumulative penalty points","2022","Leitrim","4 penalty points","Number","24"
"Drivers cumulative penalty points","2022","Leitrim","5 penalty points","Number","160"
"Drivers cumulative penalty points","2022","Leitrim","6 penalty points","Number","352"
"Drivers cumulative penalty points","2022","Leitrim","7 penalty points","Number","5"
"Drivers cumulative penalty points","2022","Leitrim","8 penalty points","Number","25"
"Drivers cumulative penalty points","2022","Leitrim","9 penalty points","Number","46"
"Drivers cumulative penalty points","2022","Leitrim","10 penalty points","Number","3"
"Drivers cumulative penalty points","2022","Leitrim","11 penalty points","Number","4"
"Drivers cumulative penalty points","2022","Leitrim","12 penalty points","Number","3"
"Drivers cumulative penalty points","2022","Limerick","Total penalty points","Number","20508"
"Drivers cumulative penalty points","2022","Limerick","1 penalty point","Number","96"
"Drivers cumulative penalty points","2022","Limerick","2 penalty points","Number","1270"
"Drivers cumulative penalty points","2022","Limerick","3 penalty points","Number","14303"
"Drivers cumulative penalty points","2022","Limerick","4 penalty points","Number","293"
"Drivers cumulative penalty points","2022","Limerick","5 penalty points","Number","1652"
"Drivers cumulative penalty points","2022","Limerick","6 penalty points","Number","2195"
"Drivers cumulative penalty points","2022","Limerick","7 penalty points","Number","39"
"Drivers cumulative penalty points","2022","Limerick","8 penalty points","Number","157"
"Drivers cumulative penalty points","2022","Limerick","9 penalty points","Number","351"
"Drivers cumulative penalty points","2022","Limerick","10 penalty points","Number","69"
"Drivers cumulative penalty points","2022","Limerick","11 penalty points","Number","44"
"Drivers cumulative penalty points","2022","Limerick","12 penalty points","Number","39"
"Drivers cumulative penalty points","2022","Longford","Total penalty points","Number","5102"
"Drivers cumulative penalty points","2022","Longford","1 penalty point","Number","13"
"Drivers cumulative penalty points","2022","Longford","2 penalty points","Number","437"
"Drivers cumulative penalty points","2022","Longford","3 penalty points","Number","3313"
"Drivers cumulative penalty points","2022","Longford","4 penalty points","Number","81"
"Drivers cumulative penalty points","2022","Longford","5 penalty points","Number","453"
"Drivers cumulative penalty points","2022","Longford","6 penalty points","Number","577"
"Drivers cumulative penalty points","2022","Longford","7 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Longford","8 penalty points","Number","64"
"Drivers cumulative penalty points","2022","Longford","9 penalty points","Number","84"
"Drivers cumulative penalty points","2022","Longford","10 penalty points","Number","30"
"Drivers cumulative penalty points","2022","Longford","11 penalty points","Number","20"
"Drivers cumulative penalty points","2022","Longford","12 penalty points","Number","12"
"Drivers cumulative penalty points","2022","Louth","Total penalty points","Number","10987"
"Drivers cumulative penalty points","2022","Louth","1 penalty point","Number","81"
"Drivers cumulative penalty points","2022","Louth","2 penalty points","Number","885"
"Drivers cumulative penalty points","2022","Louth","3 penalty points","Number","7750"
"Drivers cumulative penalty points","2022","Louth","4 penalty points","Number","155"
"Drivers cumulative penalty points","2022","Louth","5 penalty points","Number","682"
"Drivers cumulative penalty points","2022","Louth","6 penalty points","Number","1153"
"Drivers cumulative penalty points","2022","Louth","7 penalty points","Number","20"
"Drivers cumulative penalty points","2022","Louth","8 penalty points","Number","54"
"Drivers cumulative penalty points","2022","Louth","9 penalty points","Number","154"
"Drivers cumulative penalty points","2022","Louth","10 penalty points","Number","18"
"Drivers cumulative penalty points","2022","Louth","11 penalty points","Number","16"
"Drivers cumulative penalty points","2022","Louth","12 penalty points","Number","19"
"Drivers cumulative penalty points","2022","Mayo","Total penalty points","Number","13175"
"Drivers cumulative penalty points","2022","Mayo","1 penalty point","Number","34"
"Drivers cumulative penalty points","2022","Mayo","2 penalty points","Number","736"
"Drivers cumulative penalty points","2022","Mayo","3 penalty points","Number","9994"
"Drivers cumulative penalty points","2022","Mayo","4 penalty points","Number","94"
"Drivers cumulative penalty points","2022","Mayo","5 penalty points","Number","475"
"Drivers cumulative penalty points","2022","Mayo","6 penalty points","Number","1471"
"Drivers cumulative penalty points","2022","Mayo","7 penalty points","Number","25"
"Drivers cumulative penalty points","2022","Mayo","8 penalty points","Number","81"
"Drivers cumulative penalty points","2022","Mayo","9 penalty points","Number","201"
"Drivers cumulative penalty points","2022","Mayo","10 penalty points","Number","26"
"Drivers cumulative penalty points","2022","Mayo","11 penalty points","Number","21"
"Drivers cumulative penalty points","2022","Mayo","12 penalty points","Number","17"
"Drivers cumulative penalty points","2022","Meath","Total penalty points","Number","22142"
